course_id,title,provider,mapped_skill,cost,duration_hours,difficulty,source_url,description_preview
1,"""Person-of-the-Therapist"" (POTT) Online Training (Synchronous e-learning)",SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,APIs,450.0,31.0,Unspecified,,"This 'Person-of-the-Therapist' (POTT) training model is designed for practicing counsellors, psychologists, systemic therapists, social workers involved in counselling work, as well as trainee counsellors to assist them to draw on their inner experience and resources for the active and purposeful us"
2,"(SCTP Module) Wellness and Lifestyle Management (Classroom, Synchronous and Asynchronous)",Republic Polytechnic,APIs,300.0,35.0,Unspecified,,"This course provides a comprehensive overview of the wellness industry, guiding learners through the various sectors, and trends shaping the future of wellness. _x000D_"
3,(SCTP) Advanced Certificate in iOS App Development with Swift Programming,SINGAPORE MANAGEMENT UNIVERSITY,APIs,5400.0,120.0,Advanced,,"At the end of the 120-hour programme, participants will be able to:_x000D_ - Demonstrate coding proficiency using Swift programming language._x000D_ - Understand the industry best practices for iOS apps design._x000D_ - Demonstrate the usage of diverse User Interface (UI) elements and layout techniq"
4,(SCTP) Computational Design (Built Environment),Building and Construction Authority,APIs,2985.0,585.0,Unspecified,,The SkillsFuture Career Transition Programmes (SCTP) â€“ Built Environment (BE) series are train-and-place programmes specially curated to equip participants with industry-relevant knowledge and skills to thrive in the rapidly evolving built environment sector._x000D_ _x000D_ The SCTP-Built Environm
5,(SCTP) Higher Certificate in Food Services (Pastry & Baking) Part-time,Asian Culinary Institute of Singapore,APIs,1962.0,170.0,Beginner,,"At the end of the programme, learners will be able to:_x000D_ â€¢	Produce a variety of Malay desserts using various cooking and baking techniques_x000D_ â€¢	Demonstrate and apply the fundamental bread-making techniques such as kneading, rounding shaping and baking it to the standards required in the"
6,(SCTP) Smart and Sustainable Facility Management,Building and Construction Authority,APIs,3105.0,692.0,Unspecified,,The SkillsFuture Career Transition Programmes (SCTP) â€“ Built Environment (BE) series are train-and-place programmes specially curated to equip participants with industry-relevant knowledge and skills to thrive in the rapidly evolving built environment sector._x000D_ _x000D_ The SCTP-Built Environm
7,(SCTP) Sustainable Design (Built Environment),Building and Construction Authority,APIs,5895.0,703.0,Unspecified,,The SkillsFuture Career Transition Programmes (SCTP) â€“ Built Environment (BE) series are train-and-place programmes specially curated to equip participants with industry-relevant knowledge and skills to thrive in the rapidly evolving built environment sector._x000D_ _x000D_ The SCTP-Built Environm
8,(eCornell) Asset Management Toolkit,GENASHTIM,APIs,700.0,12.0,Unspecified,,"In this course, you will examine the analytical tools asset managers use to perform critical analyses. You will conduct both a competitive analysis and a SWOT analysis on your property. You will explore benchmarking practices and financial analyses to identify deviations from expected performance. Y"
9,(eCornell) Brand Strategy,GENASHTIM,APIs,700.0,12.0,Unspecified,,"In this course, you will focus on how to optimize a brand's strategy approach to the market. By identifying opportunities and threats to a brand using Porter's Five Forces model, you will analyze how you can strengthen a brand's position. You will then take this analysis a step further with ï¿½Z-SWO"
10,(eCornell) Building Your Market Advantage,GENASHTIM,APIs,700.0,12.0,Unspecified,,"Your business model is the organizational arrangement that allows your 5G innovation to thrive in the technological and business ecosystem. First you will articulate the value proposition of your offering: who benefits from the product and how. Next you will design your intended revenue mechanism, t"
559,(SCTP) Merchandise Performance Analysis (SF - Manager) [Classroom Facilitated] (FT),Nanyang Polytechnic,Budget Tracking,252.0,24.0,Unspecified,,"As business lists more and more products unto the web and on various online platforms, it has become important to implement product mix assessment checks against various factors such as merchandise budgets and sales targets, opportunities to improve sales for product range and/or product categories"
