year,occupation,job_vacancy
1998,"professionals, managers, executives and technicians",4900
1998,"clerical, sales and services workers",6000
1998,"production and transport operators, cleaners and labourers",7400
1999,"professionals, managers, executives and technicians",6900
1999,"clerical, sales and services workers",6400
1999,"production and transport operators, cleaners and labourers",7500
2000,"professionals, managers, executives and technicians",9900
2000,"clerical, sales and services workers",8000
2000,"production and transport operators, cleaners and labourers",9700
2001,"professionals, managers, executives and technicians",5800
2001,"clerical, sales and services workers",4800
2001,"production and transport operators, cleaners and labourers",5300
2002,"professionals, managers, executives and technicians",4700
2002,"clerical, sales and services workers",4000
2002,"production and transport operators, cleaners and labourers",6400
2003,"professionals, managers, executives and technicians",3900
2003,"clerical, sales and services workers",3500
2003,"production and transport operators, cleaners and labourers",5200
2004,"professionals, managers, executives and technicians",5600
2004,"clerical, sales and services workers",4500
2004,"production and transport operators, cleaners and labourers",6500
2005,"professionals, managers, executives and technicians",7200
2005,"clerical, sales and services workers",5500
2005,"production and transport operators, cleaners and labourers",6400
2006,"professionals, managers, executives and technicians",13800
2006,"clerical, sales and services workers",8100
2006,"production and transport operators, cleaners and labourers",9300
2007,"professionals, managers, executives and technicians",17400
2007,"clerical, sales and services workers",10000
2007,"production and transport operators, cleaners and labourers",11200
2008,"professionals, managers, executives and technicians",17900
2008,"clerical, sales and services workers",9900
2008,"production and transport operators, cleaners and labourers",10000
2009,"professionals, managers, executives and technicians",15100
2009,"clerical, sales and services workers",8000
2009,"production and transport operators, cleaners and labourers",7300
2010,"professionals, managers, executives and technicians",20100
2010,"clerical, sales and services workers",12000
2010,"production and transport operators, cleaners and labourers",12100
2011,"professionals, managers, executives and technicians",22800
2011,"clerical, sales and services workers",15000
2011,"production and transport operators, cleaners and labourers",14900
2012,"professionals, managers, executives and technicians",20400
2012,"clerical, sales and services workers",14600
2012,"production and transport operators, cleaners and labourers",13500
2013,"professionals, managers, executives and technicians",23500
2013,"clerical, sales and services workers",15900
2013,"production and transport operators, cleaners and labourers",16000
2013,"professionals, managers and executives",13300
2013,"non-professionals, managers and executives",42100
2014,"professionals, managers, executives and technicians",28400
2014,"clerical, sales and services workers",18400
2014,"production and transport operators, cleaners and labourers",16500
2014,"professionals, managers and executives",15500
2014,"non-professionals, managers and executives",47700
2015,"professionals, managers, executives and technicians",28600
2015,"clerical, sales and services workers",16900
2015,"production and transport operators, cleaners and labourers",13900
2015,"professionals, managers and executives",15900
2015,"non-professionals, managers and executives",43400
2016,"professionals, managers, executives and technicians",25000
2016,"clerical, sales and services workers",13700
2016,"production and transport operators, cleaners and labourers",10900
2016,"professionals, managers and executives",14600
2016,"non-professionals, managers and executives",34900
2017,"professionals, managers, executives and technicians",25700
2017,"clerical, sales and services workers",12300
2017,"production and transport operators, cleaners and labourers",10800
2017,"professionals, managers and executives",15500
2017,"non-professionals, managers and executives",33200
2018,"professionals, managers, executives and technicians",31500
2018,"clerical, sales and services workers",13600
2018,"production and transport operators, cleaners and labourers",12900
2018,"professionals, managers and executives",18800
2018,"non-professionals, managers and executives",39100
2019,"professionals, managers, executives and technicians",30700
2019,"clerical, sales and services workers",12100
2019,"production and transport operators, cleaners and labourers",10100
2019,"professionals, managers and executives",18400
2019,"non-professionals, managers and executives",34400
2020,"professionals, managers, executives and technicians",28200
2020,"clerical, sales and services workers",9700
2020,"production and transport operators, cleaners and labourers",10400
2020,"professionals, managers and executives",17400
2020,"non-professionals, managers and executives",31000
2021,"professionals, managers, executives and technicians",51400
2021,"clerical, sales and services workers",17100
2021,"production and transport operators, cleaners and labourers",26300
2021,"professionals, managers and executives",29600
2021,"non-professionals, managers and executives",65200
2022,"professionals, managers, executives and technicians",63700
2022,"clerical, sales and services workers",24300
2022,"production and transport operators, cleaners and labourers",27000
2022,"professionals, managers and executives",36700
2022,"non-professionals, managers and executives",78300
2023,"professionals, managers, executives and technicians",48300
2023,"clerical, sales and services workers",20100
2023,"production and transport operators, cleaners and labourers",17400
2023,"professionals, managers and executives",27800
2023,"non-professionals, managers and executives",58000
2024,"professionals, managers, executives and technicians",41900
2024,"clerical, sales and services workers",17400
2024,"production and transport operators, cleaners and labourers",16100
2024,"professionals, managers and executives",23900
2024,"non-professionals, managers and executives",51600
2025,"professionals, managers, executives and technicians",41500
2025,"clerical, sales and services workers",16200
2025,"production and transport operators, cleaners and labourers",18200
2025,"professionals, managers and executives",24200
2025,"non-professionals, managers and executives",51700
