occupation,mapped_mom_group,mom_year,mom_job_vacancy,old_demand_score,new_demand_score,status
Data Analyst,"professionals, managers, executives and technicians",2025,41500,0.85,0.713,updated
Business Intelligence Analyst,"professionals, managers, executives and technicians",2025,41500,0.82,0.713,updated
Junior Data Scientist,"professionals, managers, executives and technicians",2025,41500,0.78,0.713,updated
Data Engineer,"professionals, managers, executives and technicians",2025,41500,0.86,0.713,updated
Machine Learning Engineer,"professionals, managers, executives and technicians",2025,41500,0.76,0.713,updated
Administrative Executive,"clerical, sales and services workers",2025,16200,0.55,0.15,updated
Business Analyst,"professionals, managers, executives and technicians",2025,41500,0.8,0.713,updated
Project Coordinator,"professionals, managers, executives and technicians",2025,41500,0.68,0.713,updated
Operations Analyst,"professionals, managers, executives and technicians",2025,41500,0.77,0.713,updated
Product Operations Associate,"professionals, managers, executives and technicians",2025,41500,0.7,0.713,updated
HR Executive,"professionals, managers, executives and technicians",2025,41500,0.62,0.713,updated
Recruitment Coordinator,"clerical, sales and services workers",2025,16200,0.58,0.15,updated
HR Analyst,"professionals, managers, executives and technicians",2025,41500,0.73,0.713,updated
Payroll Executive,"clerical, sales and services workers",2025,16200,0.56,0.15,updated
Finance Analyst,"professionals, managers, executives and technicians",2025,41500,0.76,0.713,updated
Operations Executive,"clerical, sales and services workers",2025,16200,0.63,0.15,updated
Logistics Coordinator,"clerical, sales and services workers",2025,16200,0.6,0.15,updated
Supply Chain Analyst,"professionals, managers, executives and technicians",2025,41500,0.74,0.713,updated
Procurement Executive,"clerical, sales and services workers",2025,16200,0.64,0.15,updated
Process Improvement Analyst,"professionals, managers, executives and technicians",2025,41500,0.75,0.713,updated
