skill_name,used_by_occupations,importance_5_count,course_count,coverage_status
Problem Structuring,2,1,0,MISSING
Interview Coordination,2,1,0,MISSING
Logistics Planning,2,1,0,MISSING
Payroll Processing,1,1,0,MISSING
Change Management,5,0,0,MISSING
Cost-Benefit Analysis,4,0,0,MISSING
Quality Control,3,0,0,MISSING
A/B Testing,1,0,0,MISSING
Workflow Automation,1,0,0,MISSING
Market Research,1,0,0,MISSING
Risk Analysis,1,0,0,MISSING
Performance Management,1,0,0,MISSING
Negotiation,1,0,0,MISSING
R,0,0,0,MISSING
Excel,19,3,25,OK
SQL,14,3,15,OK
Statistics,14,3,25,OK
Documentation,14,3,25,OK
Process Mapping,8,3,25,OK
Communication,19,2,25,OK
Reporting,16,2,7,OK
Critical Thinking,15,2,25,OK
Data Visualization,14,2,25,OK
KPI Design,14,2,25,OK
Stakeholder Management,10,2,25,OK
Python,8,2,25,OK
Team Coordination,5,2,25,OK
Project Management,5,2,25,OK
Policy Analysis,4,2,25,OK
Dashboarding,3,2,14,OK
Machine Learning Basics,3,2,25,OK
Predictive Modelling,3,2,25,OK
Recruitment Operations,2,2,25,OK
Supply Chain Coordination,2,2,25,OK
Time Management,8,1,25,OK
Data Cleaning,6,1,25,OK
Power BI,5,1,7,OK
Business Requirements Gathering,5,1,25,OK
Customer Service,5,1,25,OK
Report Writing,5,1,13,OK
Lean Six Sigma Basics,4,1,25,OK
Cloud Basics,3,1,25,OK
HRIS,3,1,1,OK
Budget Tracking,3,1,25,OK
Public Sector Operations,3,1,25,OK
Impact Assessment,3,1,25,OK
ETL,2,1,19,OK
Database Design,2,1,25,OK
Data Warehousing,2,1,16,OK
APIs,2,1,17,OK
Financial Reporting,2,1,25,OK
Vendor Management,2,1,14,OK
Inventory Management,2,1,25,OK
Survey Design,2,1,25,OK
Qualitative Research,2,1,23,OK
Regulatory Understanding,2,1,25,OK
Workforce Planning,1,1,25,OK
Labour Market Research,1,1,5,OK
Procurement,1,1,25,OK
Demand Forecasting,1,1,23,OK
Programme Evaluation,1,1,25,OK
Grant Administration,1,1,25,OK
Public Communication,1,1,25,OK
Service Design,1,1,25,OK
Presentation,15,0,25,OK
Git,3,0,8,OK
Stakeholder Consultation,3,0,25,OK
Tableau,2,0,4,OK
Training Needs Analysis,2,0,25,OK
Compensation Analysis,1,0,17,OK
Employee Engagement Analysis,1,0,25,OK
