skill_id,name,category,skill_family,skill_level,transferability
1,Excel,Technical / Data,Technical,Foundational,High
2,SQL,Technical / Data,Technical,Intermediate,High
3,Python,Technical / Data,Technical,Intermediate,High
4,R,Technical / Data,Technical,Intermediate,High
5,Statistics,Technical / Data,Analytical,Intermediate,High
6,Data Cleaning,Technical / Data,Technical,Intermediate,High
7,Data Visualization,Technical / Data,Technical,Intermediate,High
8,Dashboarding,Technical / Data,Technical,Intermediate,High
9,Power BI,Technical / Data,Technical,Intermediate,High
10,Tableau,Technical / Data,Technical,Intermediate,High
11,Machine Learning Basics,Technical / Data,Technical,Advanced,Medium
12,Predictive Modelling,Technical / Data,Technical,Advanced,Medium
13,A/B Testing,Technical / Data,Technical,Advanced,High
14,ETL,Technical / Data,Technical,Intermediate,High
15,Database Design,Technical / Data,Technical,Intermediate,High
16,Data Warehousing,Technical / Data,Technical,Advanced,High
17,APIs,Technical / Data,Technical,Intermediate,High
18,Git,Technical / Data,Technical,Intermediate,High
19,Cloud Basics,Technical / Data,Technical,Intermediate,High
20,Workflow Automation,Technical / Data,Technical,Intermediate,High
21,Business Requirements Gathering,Business / Analytical,Analytical,Intermediate,High
22,Stakeholder Management,Business / Analytical,Professional,Intermediate,High
23,Process Mapping,Business / Analytical,Operations,Intermediate,Medium
24,KPI Design,Business / Analytical,Analytical,Intermediate,High
25,Reporting,Business / Analytical,Analytical,Intermediate,High
26,Market Research,Business / Analytical,Analytical,Intermediate,High
27,Problem Structuring,Business / Analytical,Analytical,Intermediate,High
28,Cost-Benefit Analysis,Business / Analytical,Analytical,Intermediate,High
29,Risk Analysis,Business / Analytical,Analytical,Advanced,High
30,Policy Analysis,Business / Analytical,Domain,Intermediate,Low
31,Recruitment Operations,HR / People Analytics,Operations,Intermediate,Medium
32,Interview Coordination,HR / People Analytics,Professional,Intermediate,High
33,HRIS,HR / People Analytics,Operations,Intermediate,Low
34,Payroll Processing,HR / People Analytics,Operations,Intermediate,Low
35,Compensation Analysis,HR / People Analytics,Analytical,Intermediate,High
36,Workforce Planning,HR / People Analytics,Operations,Intermediate,Medium
37,Employee Engagement Analysis,HR / People Analytics,Operations,Intermediate,Medium
38,Training Needs Analysis,HR / People Analytics,Operations,Intermediate,Medium
39,Labour Market Research,HR / People Analytics,Analytical,Intermediate,High
40,Performance Management,HR / People Analytics,Professional,Intermediate,High
41,Budget Tracking,Finance / Operations,Operations,Intermediate,Medium
42,Financial Reporting,Finance / Operations,Operations,Intermediate,Medium
43,Procurement,Finance / Operations,Operations,Intermediate,Medium
44,Vendor Management,Finance / Operations,Operations,Intermediate,Medium
45,Inventory Management,Finance / Operations,Operations,Intermediate,Medium
46,Demand Forecasting,Finance / Operations,Analytical,Intermediate,High
47,Supply Chain Coordination,Finance / Operations,Operations,Intermediate,Medium
48,Logistics Planning,Finance / Operations,Operations,Intermediate,Medium
49,Lean Six Sigma Basics,Finance / Operations,Operations,Intermediate,Medium
50,Quality Control,Finance / Operations,Operations,Intermediate,Medium
51,Communication,Soft / Professional,Professional,Foundational,High
52,Presentation,Soft / Professional,Professional,Foundational,High
53,Documentation,Soft / Professional,Professional,Foundational,High
54,Team Coordination,Soft / Professional,Professional,Foundational,High
55,Project Management,Soft / Professional,Professional,Intermediate,High
56,Time Management,Soft / Professional,Professional,Foundational,High
57,Customer Service,Soft / Professional,Professional,Foundational,High
58,Negotiation,Soft / Professional,Professional,Intermediate,High
59,Critical Thinking,Soft / Professional,Professional,Foundational,High
60,Change Management,Soft / Professional,Professional,Intermediate,High
61,Programme Evaluation,Business / Analytical,Analytical,Advanced,Medium
62,Survey Design,Business / Analytical,Analytical,Intermediate,High
63,Qualitative Research,Business / Analytical,Analytical,Intermediate,High
64,Stakeholder Consultation,Business / Analytical,Professional,Intermediate,High
65,Grant Administration,Finance / Operations,Operations,Intermediate,Low
66,Public Communication,Soft / Professional,Professional,Intermediate,High
67,Service Design,Business / Analytical,Operations,Intermediate,Medium
68,Public Sector Operations,Business / Analytical,Operations,Intermediate,Medium
69,Regulatory Understanding,Business / Analytical,Domain,Intermediate,Low
70,Report Writing,Soft / Professional,Professional,Intermediate,High
71,Impact Assessment,Business / Analytical,Analytical,Advanced,Medium
