course_id,title,provider,skill_id,cost,duration_hours,difficulty,source_url
1,Using Web APIs (Application Programming Interface) and JSON (Java Script Object Notation),SINGAPORE MANAGEMENT UNIVERSITY,17,675.0,15.0,Beginner,
2,Using Web APIs (Application Programming Interface) and JSON (Java Script Object Notation) (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,17,675.0,15.0,Beginner,
3,TPUD - Build a Custom ChatBot with OpenAI API  (Asynchronous e-Learning),Temasek Polytechnic,17,165.0,20.0,Unspecified,
4,API Development (Bundled) (SF)(Synchronous and Asynchronous E-Learning),LITHAN ACADEMY PTE. LTD.,17,390.0,70.5,Beginner,
5,API Development,NATIONAL UNIVERSITY OF SINGAPORE,17,855.0,21.0,Unspecified,
6,API Development (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,17,855.0,21.0,Unspecified,
7,WSQ Application Integration (SF) (Synchronous and Asynchronous E-Learning),LITHAN ACADEMY PTE. LTD.,17,360.0,40.5,Beginner,
8,CoC in Network Programmability Essentials,Institute of Technical Education,17,87.0,7.0,Unspecified,
9,Developers Toolkit Part 2: Middleware to Backend (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,17,945.0,21.0,Unspecified,
10,Intelligent Process Automation,NATIONAL UNIVERSITY OF SINGAPORE,17,630.0,14.0,Unspecified,
11,Intelligent Process Automation (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,17,630.0,14.0,Unspecified,
12,Concurrency with Swift,SINGAPORE MANAGEMENT UNIVERSITY,17,675.0,15.0,Unspecified,
13,Concurrency with Swift (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,17,675.0,15.0,Unspecified,
14,Modern Frameworks for Software Development,BELLS Institute of Higher Learning Pte. Ltd.,17,570.0,38.0,Unspecified,
15,Exploring Spring and Spring Boot: Building Robust Java Applications,NTUC LEARNINGHUB PTE. LTD.,17,622.5,40.0,Advanced,
16,WSQ-MS Microsoft Power Platform App Maker (PL-100),TRAINOCATE (S) PTE. LTD.,17,1000.0,32.0,Unspecified,
17,Server-Side Development - Part of Modular Certificate in Back-End Development (DFSD),Ngee Ann Polytechnic,17,2547.0,90.0,Intermediate,
18,Budgeting for Charities (Synchronous e-learning),Social Service Institute (SSI),41,165.0,8.0,Unspecified,
19,Event Budgeting & Profit Strategy,SINGAPORE MANAGEMENT UNIVERSITY,41,780.0,15.0,Unspecified,
20,Financial Budget Planning and Management L4,NTUC LEARNINGHUB PTE. LTD.,41,225.0,20.0,Unspecified,
21,Develop and Establish Financial Budget and Plans,Institute of Singapore Chartered Accountants,41,280.0,16.0,Unspecified,
22,Develop and Implement Budget,AT-SUNRICE GLOBALCHEF ACADEMY PTE. LTD.,41,258.66,31.0,Unspecified,
23,Budget Management,HUSTLE INSTITUTE PTE. LTD.,41,430.0,16.0,Intermediate,
24,Advanced Certificate in Event Management and Entertainment: Event Budgeting & Profit Strategy,SINGAPORE MANAGEMENT UNIVERSITY,41,480.0,15.0,Advanced,
25,Budgeting &  Financial Management - Part of Modular Certificate in Filmmaking as a Business (DFM),Ngee Ann Polytechnic,41,509.4,60.0,Unspecified,
26,"Plan the Production Budget, Schedule and Methods of Delivery",SINGAPORE MEDIA ACADEMY PRIVATE LIMITED,41,780.0,25.0,Unspecified,
27,"Plan the Production Budget, Schedule and Methods of Delivery (Classroom and Synchronous E-Learning)",SINGAPORE MEDIA ACADEMY PRIVATE LIMITED,41,780.0,25.0,Unspecified,
28,"Low Budget, High Aesthetics: Lighting with Limited resources",AV8 MEDIA PTE LTD,41,850.0,22.5,Unspecified,
29,Retail: Influencer Marketing Management,NTUC LEARNINGHUB PTE. LTD.,41,84.0,8.0,Unspecified,
30,Finance for Non-Finance Managers,SINGAPORE POLYTECHNIC,41,144.0,14.0,Beginner,
31,Project Budget and Cost Managementâ€‹ (Classroom and Synchronous e-learning),NANYANG TECHNOLOGICAL UNIVERSITY,41,1417.5,30.5,Unspecified,
32,Retail: Social Media Live Streaming Planning and Implementation,NTUC LEARNINGHUB PTE. LTD.,41,204.0,16.0,Unspecified,
33,Retail: Tiktok Marketing,NTUC LEARNINGHUB PTE. LTD.,41,255.0,16.0,Unspecified,
34,Professional Certificate in Legal Practice of the Future Module 2: The Business of Law and Digitalising and Streamlining Legal Operations,SINGAPORE MANAGEMENT UNIVERSITY,41,300.0,8.0,Intermediate,
35,Professional Certificate in Legal Practice of the Future Module 2: The Business of Law and Digitalising and Streamlining Legal Operations (Synchronous E-learning),SINGAPORE MANAGEMENT UNIVERSITY,41,300.0,8.0,Intermediate,
36,Asset Transformation Strategy,Singapore Polytechnic,41,270.0,24.0,Unspecified,
37,Facebook Marketing Essential,James Cook Institute Pte Ltd,41,325.0,16.0,Unspecified,
38,Programmatic and Digital Advertising,BELLS Institute of Higher Learning Pte. Ltd.,41,360.0,24.0,Beginner,
39,Programmatic and Digital Advertising(Part-Time),BELLS Institute of Higher Learning Pte. Ltd.,41,360.0,24.0,Beginner,
40,Practical Social Media Strategy,EMARSITY PTE. LTD.,41,450.0,16.0,Intermediate,
41,Effective Event Management,NANYANG TECHNOLOGICAL UNIVERSITY,41,590.0,14.0,Unspecified,
42,Run Successful Google Search Engine Marketing (SEM) Campaigns for PPC and Display Ads,FIRSTCOM ACADEMY PTE. LTD.,41,600.0,20.0,Unspecified,
43,Data Mining for Strategic Business Analysis,ASCENDO ACADEMY PTE. LTD.,21,260.0,16.0,Unspecified,
44,Introduction to Business Analysis,EPM TRAINING SERVICES PTE. LTD.,21,300.0,16.0,Beginner,
45,Strategic Business Analysis & Capacity Planning,NATIONAL UNIVERSITY OF SINGAPORE,21,315.0,8.0,Unspecified,
46,Entry Certificate in Business Analysis (ECBA) (SF),NTUC LEARNINGHUB PTE. LTD.,21,390.0,24.0,Unspecified,
47,Entry Certificate in Business Analysis (ECBA) (SF) (Synchronous e-learning),NTUC LEARNINGHUB PTE. LTD.,21,390.0,24.0,Unspecified,
48,TFIP - Business Analysis Capstone Projectâ€‹,NTUC LEARNINGHUB PTE. LTD.,21,450.0,32.0,Unspecified,
49,Business Analysis Foundation,BRIDGINGMINDS NETWORK PTE. LTD.,21,600.0,15.5,Beginner,
50,Requirements Gathering,NTUC LEARNINGHUB PTE. LTD.,21,570.0,24.0,Intermediate,
51,ECBA - Entry Certificate in Business Analysis (SF),NTUC LEARNINGHUB PTE. LTD.,21,650.0,24.0,Unspecified,
52,Business Analysis Planning and Strategy Analysis,NATIONAL UNIVERSITY OF SINGAPORE,21,855.0,21.0,Unspecified,
53,Business Analysis Planning and Strategy Analysis (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,21,855.0,21.0,Unspecified,
54,Certified Business Analysis Professional (CBAP) (SF),NTUC LEARNINGHUB PTE. LTD.,21,960.0,40.0,Intermediate,
55,Certified Business Analysis Professional (CBAP) (SF) (Synchronous e-learning),NTUC LEARNINGHUB PTE. LTD.,21,960.0,40.0,Intermediate,
56,Certified Management Accountant (CMA) Programme:  Strategic Business Analysis (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,21,1200.0,31.0,Beginner,
57,Certified Business Analysis Professional (CBAP) Exam Preparation (Synchronous e-learning).,EPM TRAINING SERVICES PTE. LTD.,21,1450.0,38.5,Intermediate,
58,CBAP - Certified Business Analysis Professional  (SF),NTUC LEARNINGHUB PTE. LTD.,21,1600.0,40.0,Intermediate,
59,UX Requirements and Processes,Republic Polytechnic,21,372.6,30.0,Unspecified,
