occupation_id,skill_id,importance
1,2,5
1,5,5
1,6,5
1,7,5
1,8,5
1,59,5
1,1,4
1,3,4
1,9,4
1,24,4
1,25,4
1,52,4
1,10,3
1,51,3
2,2,5
2,8,5
2,9,5
2,7,5
2,25,5
2,1,4
2,10,4
2,16,4
2,24,4
2,52,4
2,21,3
2,51,3
3,3,5
3,5,5
3,11,5
3,12,5
3,6,4
3,2,4
3,7,4
3,18,4
3,59,4
3,13,3
3,19,3
3,52,3
4,14,5
4,15,5
4,16,5
4,17,5
4,2,5
4,3,4
4,18,4
4,19,4
4,6,4
4,20,3
4,53,3
4,59,3
5,3,5
5,11,5
5,12,5
5,19,5
5,17,4
5,18,4
5,14,4
5,5,4
5,2,3
5,15,3
5,53,3
5,59,3
6,1,5
6,53,5
6,54,5
6,56,5
6,51,4
6,25,3
6,22,3
6,57,3
7,21,5
7,22,5
7,23,5
7,24,4
7,25,4
7,27,5
7,1,4
7,2,3
7,7,3
7,51,4
7,52,4
7,55,3
8,55,5
8,54,5
8,53,5
8,22,4
8,56,4
8,51,4
8,1,3
8,25,3
8,52,3
8,60,3
9,24,5
9,25,5
9,23,4
9,49,4
9,1,4
9,2,4
9,5,3
9,7,3
9,28,3
9,59,4
9,52,3
10,23,5
10,24,5
10,25,4
10,21,4
10,22,4
10,55,4
10,1,3
10,7,3
10,51,4
10,52,3
11,31,5
11,32,4
11,33,4
11,40,4
11,38,3
11,51,4
11,53,4
11,1,3
11,22,3
11,56,3
12,31,5
12,32,5
12,51,5
12,53,4
12,54,4
12,56,4
12,57,3
12,1,3
12,22,3
13,33,5
13,36,5
13,37,4
13,38,4
13,39,5
13,1,4
13,2,3
13,5,3
13,7,3
13,24,3
14,34,5
14,35,4
14,1,5
14,42,4
14,53,4
14,33,3
14,51,3
14,56,3
14,59,3
15,42,5
15,41,5
15,1,5
15,5,4
15,2,4
15,7,4
15,24,4
15,25,4
15,28,3
15,52,3
15,59,4
16,23,4
16,25,4
16,49,4
16,50,4
16,54,4
16,51,4
16,1,3
16,53,3
16,56,3
16,60,3
17,47,5
17,48,5
17,45,4
17,44,4
17,54,4
17,51,4
17,1,3
17,53,3
17,56,3
18,45,5
18,46,5
18,47,5
18,48,4
18,49,4
18,1,4
18,2,3
18,5,3
18,7,3
18,25,4
19,43,5
19,44,5
19,28,4
19,41,4
19,58,4
19,51,4
19,1,3
19,53,3
19,22,3
20,49,5
20,23,5
20,24,4
20,25,4
20,50,4
20,5,3
20,7,3
20,28,4
20,59,4
20,52,3
